promo_id,promo_name,start_date,end_date,discount_pct,promo_type,target_type,target_value
PROMO017,HealthFirst Buy 1 Get 1 Free Campaign #17,2025-06-01,2025-06-15,50.0,Buy 1 Get 1 Free,Brand,HealthFirst
PROMO018,SKU00847 Bundle Discount Campaign #18,2025-07-01,2025-07-15,15.0,Bundle Discount,SKU,SKU00847
PROMO019,Storewide All Products Clearance Sale Campaign #19,2025-08-01,2025-08-15,40.0,Clearance Sale,All,Storewide All Products
PROMO020,Personal Care Percentage Discount Campaign #20,2025-09-01,2025-09-15,30.0,Percentage Discount,Category,Personal Care
PROMO021,BasicNeeds Buy 1 Get 1 Free Campaign #21,2025-10-01,2025-10-15,30.0,Buy 1 Get 1 Free,Brand,BasicNeeds
PROMO022,SKU01035 Bundle Discount Campaign #22,2025-11-01,2025-11-15,40.0,Bundle Discount,SKU,SKU01035
PROMO023,Storewide All Products Clearance Sale Campaign #23,2025-12-01,2025-12-15,10.0,Clearance Sale,All,Storewide All Products
PROMO024,Home & Kitchen Percentage Discount Campaign #24,2025-01-01,2025-01-15,15.0,Percentage Discount,Category,Home & Kitchen
PROMO025,PureLife Buy 1 Get 1 Free Campaign #25,2025-02-01,2025-02-15,50.0,Buy 1 Get 1 Free,Brand,PureLife
PROMO026,SKU01223 Bundle Discount Campaign #26,2025-03-01,2025-03-15,40.0,Bundle Discount,SKU,SKU01223
PROMO027,Storewide All Products Clearance Sale Campaign #27,2025-04-01,2025-04-15,50.0,Clearance Sale,All,Storewide All Products
PROMO028,Health & Wellness Percentage Discount Campaign #28,2025-05-01,2025-05-15,10.0,Percentage Discount,Category,Health & Wellness
PROMO029,GoldenHarvest Buy 1 Get 1 Free Campaign #29,2025-06-01,2025-06-15,20.0,Buy 1 Get 1 Free,Brand,GoldenHarvest
PROMO030,SKU01411 Bundle Discount Campaign #30,2025-07-01,2025-07-15,50.0,Bundle Discount,SKU,SKU01411
PROMO031,Storewide All Products Clearance Sale Campaign #31,2025-08-01,2025-08-15,50.0,Clearance Sale,All,Storewide All Products
PROMO032,Personal Care Percentage Discount Campaign #32,2025-09-01,2025-09-15,10.0,Percentage Discount,Category,Personal Care
PROMO033,SunriseFoods Buy 1 Get 1 Free Campaign #33,2025-10-01,2025-10-15,40.0,Buy 1 Get 1 Free,Brand,SunriseFoods
PROMO034,SKU01599 Bundle Discount Campaign #34,2025-11-01,2025-11-15,15.0,Bundle Discount,SKU,SKU01599
PROMO035,Storewide All Products Clearance Sale Campaign #35,2025-12-01,2025-12-15,40.0,Clearance Sale,All,Storewide All Products
PROMO036,Home & Kitchen Percentage Discount Campaign #36,2025-01-01,2025-01-15,20.0,Percentage Discount,Category,Home & Kitchen
PROMO037,SmartBuy Buy 1 Get 1 Free Campaign #37,2025-02-01,2025-02-15,30.0,Buy 1 Get 1 Free,Brand,SmartBuy
PROMO038,SKU01787 Bundle Discount Campaign #38,2025-03-01,2025-03-15,40.0,Bundle Discount,SKU,SKU01787
PROMO039,Storewide All Products Clearance Sale Campaign #39,2025-04-01,2025-04-15,10.0,Clearance Sale,All,Storewide All Products
PROMO040,Health & Wellness Percentage Discount Campaign #40,2025-05-01,2025-05-15,15.0,Percentage Discount,Category,Health & Wellness
PROMO041,PrimeCare Buy 1 Get 1 Free Campaign #41,2025-06-01,2025-06-15,40.0,Buy 1 Get 1 Free,Brand,PrimeCare
PROMO042,SKU01975 Bundle Discount Campaign #42,2025-07-01,2025-07-15,40.0,Bundle Discount,SKU,SKU01975
PROMO043,Storewide All Products Clearance Sale Campaign #43,2025-08-01,2025-08-15,50.0,Clearance Sale,All,Storewide All Products
PROMO044,Personal Care Percentage Discount Campaign #44,2025-09-01,2025-09-15,20.0,Percentage Discount,Category,Personal Care
PROMO045,DailyBest Buy 1 Get 1 Free Campaign #45,2025-10-01,2025-10-15,5.0,Buy 1 Get 1 Free,Brand,DailyBest
PROMO046,SKU02163 Bundle Discount Campaign #46,2025-11-01,2025-11-15,30.0,Bundle Discount,SKU,SKU02163
PROMO047,Storewide All Products Clearance Sale Campaign #47,2025-12-01,2025-12-15,30.0,Clearance Sale,All,Storewide All Products
PROMO048,Home & Kitchen Percentage Discount Campaign #48,2025-01-01,2025-01-15,50.0,Percentage Discount,Category,Home & Kitchen
PROMO049,TrueTaste Buy 1 Get 1 Free Campaign #49,2025-02-01,2025-02-15,20.0,Buy 1 Get 1 Free,Brand,TrueTaste
PROMO050,SKU02351 Bundle Discount Campaign #50,2025-03-01,2025-03-15,50.0,Bundle Discount,SKU,SKU02351
PROMO051,Storewide All Products Clearance Sale Campaign #51,2025-04-01,2025-04-15,10.0,Clearance Sale,All,Storewide All Products
PROMO052,Health & Wellness Percentage Discount Campaign #52,2025-05-01,2025-05-15,20.0,Percentage Discount,Category,Health & Wellness
PROMO053,NovaFresh Buy 1 Get 1 Free Campaign #53,2025-06-01,2025-06-15,50.0,Buy 1 Get 1 Free,Brand,NovaFresh
PROMO054,SKU02539 Bundle Discount Campaign #54,2025-07-01,2025-07-15,25.0,Bundle Discount,SKU,SKU02539
PROMO055,Storewide All Products Clearance Sale Campaign #55,2025-08-01,2025-08-15,5.0,Clearance Sale,All,Storewide All Products
PROMO056,Personal Care Percentage Discount Campaign #56,2025-09-01,2025-09-15,15.0,Percentage Discount,Category,Personal Care
PROMO057,FamilyChoice Buy 1 Get 1 Free Campaign #57,2025-10-01,2025-10-15,15.0,Buy 1 Get 1 Free,Brand,FamilyChoice
PROMO058,SKU02727 Bundle Discount Campaign #58,2025-11-01,2025-11-15,20.0,Bundle Discount,SKU,SKU02727
PROMO059,Storewide All Products Clearance Sale Campaign #59,2025-12-01,2025-12-15,25.0,Clearance Sale,All,Storewide All Products
PROMO060,Home & Kitchen Percentage Discount Campaign #60,2025-01-01,2025-01-15,40.0,Percentage Discount,Category,Home & Kitchen
PROMO061,CrispKing Buy 1 Get 1 Free Campaign #61,2025-02-01,2025-02-15,10.0,Buy 1 Get 1 Free,Brand,CrispKing
PROMO062,SKU02915 Bundle Discount Campaign #62,2025-03-01,2025-03-15,25.0,Bundle Discount,SKU,SKU02915
PROMO063,Storewide All Products Clearance Sale Campaign #63,2025-04-01,2025-04-15,25.0,Clearance Sale,All,Storewide All Products
PROMO064,Health & Wellness Percentage Discount Campaign #64,2025-05-01,2025-05-15,40.0,Percentage Discount,Category,Health & Wellness
PROMO065,GreenValley Buy 1 Get 1 Free Campaign #65,2025-06-01,2025-06-15,40.0,Buy 1 Get 1 Free,Brand,GreenValley
PROMO066,SKU03103 Bundle Discount Campaign #66,2025-07-01,2025-07-15,15.0,Bundle Discount,SKU,SKU03103
PROMO067,Storewide All Products Clearance Sale Campaign #67,2025-08-01,2025-08-15,50.0,Clearance Sale,All,Storewide All Products
PROMO068,Personal Care Percentage Discount Campaign #68,2025-09-01,2025-09-15,40.0,Percentage Discount,Category,Personal Care
PROMO069,PremiumSelect Buy 1 Get 1 Free Campaign #69,2025-10-01,2025-10-15,20.0,Buy 1 Get 1 Free,Brand,PremiumSelect
PROMO070,SKU03291 Bundle Discount Campaign #70,2025-11-01,2025-11-15,20.0,Bundle Discount,SKU,SKU03291
PROMO071,Storewide All Products Clearance Sale Campaign #71,2025-12-01,2025-12-15,5.0,Clearance Sale,All,Storewide All Products
PROMO072,Home & Kitchen Percentage Discount Campaign #72,2025-01-01,2025-01-15,25.0,Percentage Discount,Category,Home & Kitchen
PROMO073,EverydayPlus Buy 1 Get 1 Free Campaign #73,2025-02-01,2025-02-15,10.0,Buy 1 Get 1 Free,Brand,EverydayPlus
PROMO074,SKU03479 Bundle Discount Campaign #74,2025-03-01,2025-03-15,10.0,Bundle Discount,SKU,SKU03479
PROMO075,Storewide All Products Clearance Sale Campaign #75,2025-04-01,2025-04-15,50.0,Clearance Sale,All,Storewide All Products
PROMO076,Health & Wellness Percentage Discount Campaign #76,2025-05-01,2025-05-15,40.0,Percentage Discount,Category,Health & Wellness
PROMO077,HealthFirst Buy 1 Get 1 Free Campaign #77,2025-06-01,2025-06-15,10.0,Buy 1 Get 1 Free,Brand,HealthFirst
PROMO078,SKU03667 Bundle Discount Campaign #78,2025-07-01,2025-07-15,25.0,Bundle Discount,SKU,SKU03667
PROMO079,Storewide All Products Clearance Sale Campaign #79,2025-08-01,2025-08-15,15.0,Clearance Sale,All,Storewide All Products
PROMO080,Personal Care Percentage Discount Campaign #80,2025-09-01,2025-09-15,10.0,Percentage Discount,Category,Personal Care
PROMO081,BasicNeeds Buy 1 Get 1 Free Campaign #81,2025-10-01,2025-10-15,30.0,Buy 1 Get 1 Free,Brand,BasicNeeds
PROMO082,SKU03855 Bundle Discount Campaign #82,2025-11-01,2025-11-15,15.0,Bundle Discount,SKU,SKU03855
PROMO083,Storewide All Products Clearance Sale Campaign #83,2025-12-01,2025-12-15,25.0,Clearance Sale,All,Storewide All Products
PROMO084,Home & Kitchen Percentage Discount Campaign #84,2025-01-01,2025-01-15,20.0,Percentage Discount,Category,Home & Kitchen
PROMO085,PureLife Buy 1 Get 1 Free Campaign #85,2025-02-01,2025-02-15,10.0,Buy 1 Get 1 Free,Brand,PureLife
PROMO086,SKU04043 Bundle Discount Campaign #86,2025-03-01,2025-03-15,40.0,Bundle Discount,SKU,SKU04043
PROMO087,Storewide All Products Clearance Sale Campaign #87,2025-04-01,2025-04-15,40.0,Clearance Sale,All,Storewide All Products
PROMO088,Health & Wellness Percentage Discount Campaign #88,2025-05-01,2025-05-15,20.0,Percentage Discount,Category,Health & Wellness
PROMO089,GoldenHarvest Buy 1 Get 1 Free Campaign #89,2025-06-01,2025-06-15,40.0,Buy 1 Get 1 Free,Brand,GoldenHarvest
PROMO090,SKU04231 Bundle Discount Campaign #90,2025-07-01,2025-07-15,25.0,Bundle Discount,SKU,SKU04231
PROMO091,Storewide All Products Clearance Sale Campaign #91,2025-08-01,2025-08-15,50.0,Clearance Sale,All,Storewide All Products
PROMO092,Personal Care Percentage Discount Campaign #92,2025-09-01,2025-09-15,5.0,Percentage Discount,Category,Personal Care
PROMO093,SunriseFoods Buy 1 Get 1 Free Campaign #93,2025-10-01,2025-10-15,25.0,Buy 1 Get 1 Free,Brand,SunriseFoods
PROMO094,SKU04419 Bundle Discount Campaign #94,2025-11-01,2025-11-15,40.0,Bundle Discount,SKU,SKU04419
PROMO095,Storewide All Products Clearance Sale Campaign #95,2025-12-01,2025-12-15,30.0,Clearance Sale,All,Storewide All Products
PROMO096,Home & Kitchen Percentage Discount Campaign #96,2025-01-01,2025-01-15,40.0,Percentage Discount,Category,Home & Kitchen
PROMO097,SmartBuy Buy 1 Get 1 Free Campaign #97,2025-02-01,2025-02-15,40.0,Buy 1 Get 1 Free,Brand,SmartBuy
PROMO098,SKU04607 Bundle Discount Campaign #98,2025-03-01,2025-03-15,50.0,Bundle Discount,SKU,SKU04607
PROMO099,Storewide All Products Clearance Sale Campaign #99,2025-04-01,2025-04-15,5.0,Clearance Sale,All,Storewide All Products
PROMO100,Health & Wellness Percentage Discount Campaign #100,2025-05-01,2025-05-15,20.0,Percentage Discount,Category,Health & Wellness
